1_F.3d_87.in.txt      gpt-4o stability=0.85, accuracy=0.85; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.65, accuracy=0.35
1_F.3d_486.in.txt     gpt-4o stability=0.95, accuracy=0.95; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=1.00
1_F.3d_742.in.txt     gpt-4o stability=0.80, accuracy=0.80; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.65, accuracy=0.65
1_F.3d_751.in.txt     gpt-4o stability=0.70, accuracy=0.30; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=0.00
1_F.3d_769.in.txt     gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
1_F.3d_830.in.txt     gpt-4o stability=0.75, accuracy=0.25; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=1.00
1_F.3d_867.in.txt     gpt-4o stability=0.65, accuracy=0.65; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.65, accuracy=0.65
1_F.3d_1085.in.txt    gpt-4o stability=0.95, accuracy=0.05; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
1_F.3d_1184.in.txt    gpt-4o stability=0.85, accuracy=0.15; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
1_F.3d_1331.in.txt    gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=1.00
1_F.3d_1362.in.txt    gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=1.00
1_F.3d_1430.in.txt    gpt-4o stability=0.90, accuracy=0.90; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=1.00
2_F.3d_168.in.txt     gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=0.00
2_F.3d_249.in.txt     gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
2_F.3d_258.in.txt     gpt-4o stability=0.55, accuracy=0.45; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.60, accuracy=0.60
2_F.3d_382.in.txt     gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.80, accuracy=0.20
2_F.3d_697.in.txt     gpt-4o stability=0.60, accuracy=0.60; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.70, accuracy=0.30
2_F.3d_1190.in.txt    gpt-4o stability=0.90, accuracy=0.10; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
2_F.3d_1331.in.txt    gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
